name,ordinal,branch,location
멕시코도롱뇽,도룡뇽목,암비스토마과,곤충관
청개구리,개구리목,개구리과,곤충관
참개구리,개구리목,개구리과,곤충관
북방산개구리,개구리목,개구리과,곤충관
금개구리,개구리목,개구리과,곤충관
